20.0 # 40.0 # 0.0 # 1.0 # 2	tf	agg_coef	max_entropy	min_entropy	left_entropy	right_entropy
韩冲	103	56.72418	4.57520	3.58274	3.58274	4.57520
丹堂	99	174.37171	4.83619	4.60442	4.60442	4.83619
符文	98	8718.70432	4.28487	3.62781	4.28487	3.62781
帝境	98	115.20998	3.76014	1.57209	3.76014	1.57209
柳菲	96	670.26750	4.99383	3.63273	3.63273	4.99383
葛叶	95	1782.06769	5.46688	3.22575	3.22575	5.46688
小伊	93	102.25913	4.97473	3.52387	3.52387	4.97473
韩池	93	320.60651	5.07530	3.74262	3.74262	5.07530
火奴	93	118.43466	4.02233	3.81989	4.02233	3.81989
吴辰	90	723.14352	5.19899	3.88646	3.88646	5.19899
木铁	89	205.47127	4.79275	3.18441	3.18441	4.79275
星界	88	56.60411	3.94542	3.43711	3.94542	3.43711
丈许	87	60.65009	4.71706	3.47732	4.71706	3.47732
蝎山	86	58.18522	5.27180	3.61918	3.61918	5.27180
北王	85	119.68452	4.76562	3.79976	3.79976	4.76562
印决	83	79.29726	4.03509	3.28938	4.03509	3.28938
磨挲	82	10731.54195	3.30989	1.24303	3.30989	1.24303
灰衣	82	94.51254	3.81909	1.51789	3.81909	1.51789
朝前	81	137.67412	3.54495	2.98419	3.54495	2.98419
赫家	81	47.12441	4.36988	2.65305	4.36988	2.65305
深洞	80	55.51431	4.02209	3.49981	3.49981	4.02209
黛眉	80	408.28759	3.37831	3.17327	3.17327	3.37831
血刀	79	68.69151	4.06312	2.57249	4.06312	2.57249
齐山	79	58.66377	5.09798	4.10709	4.10709	5.09798
黄阶	78	89.50857	4.67360	2.79152	4.67360	2.79152
罗侯	76	4313.49294	4.52081	3.91306	3.91306	4.52081
龙皇	75	41.87999	4.28358	2.65689	4.28358	2.65689
飙射	74	568.93484	4.99415	1.79548	4.99415	1.79548
莫崖	73	206.94177	5.29582	3.96043	3.96043	5.29582
烙毒	72	793.03325	4.28882	3.58056	3.58056	4.28882
贝齿	72	3557.30794	2.48035	2.41464	2.41464	2.48035
暗劲	71	68.14288	4.20923	4.02124	4.02124	4.20923
血池	71	91.25487	4.21114	3.51638	4.21114	3.51638
兽域	70	42.11065	4.35521	3.79982	4.35521	3.79982
属姓	70	108.29505	4.89587	4.01010	4.89587	4.01010
换作	69	226.35954	4.55116	2.10712	2.10712	4.55116
付敖	69	3304.12241	4.74981	3.31763	3.31763	4.74981
易尘	68	199.54748	5.06916	3.21886	3.21886	5.06916
凶芒	68	64.70345	3.99541	3.31731	3.99541	3.31731
六星	68	42.21485	4.63877	3.79359	4.63877	3.79359
蒙力	67	54.98477	4.42164	3.69048	3.69048	4.42164
姓格	66	88.77353	3.94669	3.90256	3.94669	3.90256
妖凰	66	52.71943	3.85428	2.41910	2.41910	3.85428
陆牧	66	1762.86360	5.19954	3.36219	3.36219	5.19954
品阶	65	46.01175	3.90127	3.46823	3.90127	3.46823
雪魅	65	564.45154	4.76416	3.25000	3.25000	4.76416
月媚	65	231.70087	5.45130	1.92683	1.92683	5.45130
凶戾	64	967.11833	4.51199	3.44938	4.51199	3.44938
远超	63	67.78974	4.36484	4.18901	4.18901	4.36484
谷尼	62	1438.52555	4.28560	2.56767	2.56767	4.28560
唐鹰	61	622.74634	4.31322	3.61583	3.61583	4.31322
奇物	61	50.55545	3.71201	2.28253	3.71201	2.28253
严皓	61	1615.92520	4.15896	3.28684	3.28684	4.15896
洪立	61	151.03720	4.67494	3.34677	3.34677	4.67494
谢震	60	85.19606	5.20899	3.16943	3.16943	5.20899
蜈崖	60	2262.01001	4.72436	3.45460	3.45460	4.72436
珠体	59	48.17655	4.11069	3.52761	4.11069	3.52761
姚坊	58	2582.33285	3.43664	1.15396	3.43664	1.15396
毒斑	58	197.10530	4.00056	1.01603	1.01603	4.00056
美妇	58	564.23316	4.56811	2.91455	2.91455	4.56811
杨皓	58	18559.38236	4.62887	3.33979	3.33979	4.62887
诚仁	57	13458.48169	3.89834	1.12976	3.89834	1.12976
晶层	56	75.35892	3.74176	2.91100	2.91100	3.74176
赫蒙	56	1136.27224	4.66229	2.90295	2.90295	4.66229
阿泰	56	28621.58922	4.91674	3.28622	3.28622	4.91674
丹香	55	62.62745	3.06834	2.98797	2.98797	3.06834
虚眯	55	59.96720	3.28457	1.74975	3.28457	1.74975
铁剑	54	119.80460	4.12874	1.98591	4.12874	1.98591
寒泉	53	95.56748	3.73890	1.16024	1.16024	3.73890
北域	53	97.40279	4.55737	2.69980	2.69980	4.55737
寒雾	53	58.08342	3.97832	3.88696	3.88696	3.97832
暗叹	51	43.35576	2.60685	2.51619	2.60685	2.51619
九凤	51	149.92347	4.46357	3.57462	3.57462	4.46357
驱毒	51	177.72308	3.80138	2.80264	3.80138	2.80264
森寒	51	41.62453	4.51960	3.17439	4.51960	3.17439
兽潮	49	152.73250	3.99873	3.88611	3.99873	3.88611
二字	49	46.75682	4.68390	2.56410	4.68390	2.56410
震碎	49	75.29795	4.38838	4.11708	4.38838	4.11708
火炫	49	83.97899	4.66224	2.51128	2.51128	4.66224
晶壁	49	238.51033	3.95333	3.57233	3.57233	3.95333
龙岛	49	132.84436	4.14258	3.89000	4.14258	3.89000
精芒	49	42.92604	3.85505	3.66600	3.85505	3.66600
银袍	48	41.42346	3.25931	2.22996	3.25931	2.22996
丢进	48	45.85799	4.40311	3.73765	4.40311	3.73765
雪岚	48	91.58046	5.00425	2.58077	2.58077	5.00425
冰符	47	252.86845	4.32535	3.45930	3.45930	4.32535
阴翳	46	1174.45536	3.70696	1.42392	3.70696	1.42392
莽荒	46	2535.61546	4.12922	1.15678	4.12922	1.15678
乌坦	46	775.22753	3.52617	2.79914	3.52617	2.79914
婴果	45	392.36911	4.10009	1.11964	1.11964	4.10009
风刃	44	164.61331	3.90026	3.71129	3.71129	3.90026
晋阶	44	108.57048	4.44191	3.20390	4.44191	3.20390
肚内	43	83.99422	2.83361	2.09964	2.83361	2.09964
冰镜	42	288.94211	3.96436	3.22249	3.96436	3.22249
夏莽	42	6060.95089	4.76330	3.20840	3.20840	4.76330
阎老	42	148.47368	4.71697	4.00672	4.00672	4.71697
绿芒	41	47.56348	4.36903	3.73233	3.73233	4.36903
墨冉	41	3139.23399	3.80479	3.13812	3.13812	3.80479
严浩	41	333.21545	4.49752	3.63811	3.63811	4.49752
雷欧	41	789.86382	4.57061	3.26510	3.26510	4.57061
丹轩	41	98.37390	4.25306	3.22206	3.22206	4.25306
薛崩	40	7005.77147	3.84813	3.09607	3.09607	3.84813
裙袍	40	192.42509	3.32572	2.10152	3.32572	2.10152
冰鹤	40	541.48906	4.33418	3.45759	3.45759	4.33418
曲卷	40	108.30444	3.70161	2.37322	3.70161	2.37322
奇宝	40	114.75840	3.00735	2.55685	3.00735	2.55685
丹晨	39	57.67526	3.37847	2.90303	2.90303	3.37847
翌曰	39	770.10977	1.58496	1.49839	1.58496	1.49839
冰元	39	67.63019	4.27233	3.39698	3.39698	4.27233
严狮	38	290.23618	3.95531	3.08434	3.08434	3.95531
幽泉	38	141.02229	4.39149	3.33180	3.33180	4.39149
温凉	38	143.24385	4.20820	2.86405	4.20820	2.86405
云帆	38	403.20539	4.59648	2.98843	2.98843	4.59648
吸扯	37	95.05873	3.71861	2.91339	3.71861	2.91339
甘穆	37	966.74819	4.01921	2.75576	2.75576	4.01921
鼎炉	36	390.60589	3.57617	3.37777	3.57617	3.37777
傅岩	36	1941.78460	4.68615	3.34177	3.34177	4.68615
光茧	36	96.61802	3.46246	3.09179	3.46246	3.09179
锻体	35	142.04344	3.25455	3.08974	3.08974	3.25455
昨曰	35	198.19001	4.43315	4.34866	4.34866	4.43315
百零	35	148.82242	2.80735	2.32193	2.32193	2.80735
巨坑	34	143.80858	2.85915	2.75700	2.85915	2.75700
拔升	34	172.74390	3.93983	2.20647	3.93983	2.20647
木辰	34	176.35474	3.27133	3.00548	3.00548	3.27133
蓝鹰	34	187.40727	3.45030	2.78723	2.78723	3.45030
晶卡	34	242.72888	3.73822	3.34326	3.73822	3.34326
钟乳	33	531.18426	3.81996	3.43628	3.43628	3.81996
巨鹰	33	46.44966	3.71371	3.61278	3.61278	3.71371
伊哇	33	10028.69402	1.87297	1.61675	1.61675	1.87297
晨辉	33	6121.05416	3.55466	2.36378	2.36378	3.55466
丹丸	32	158.40849	3.25000	2.87319	3.25000	2.87319
琳菲	31	918.25050	4.42953	1.86711	1.86711	4.42953
玉牌	31	109.61180	3.38146	2.64022	3.38146	2.64022
古华	31	53.92727	4.41372	3.11527	3.11527	4.41372
所铸	30	128.87093	3.30226	1.67906	3.30226	1.67906
云督	30	295.16949	3.51851	3.13562	3.13562	3.51851
摩星	30	256.45523	3.80291	2.87303	2.87303	3.80291
林朽	30	574.14316	3.59679	2.72301	2.72301	3.59679
柳苍	30	48.86255	4.28173	3.45470	3.45470	4.28173
玉简	29	46.58117	2.51315	1.84193	1.84193	2.51315
沉侵	29	47.90103	3.45470	1.06353	3.45470	1.06353
曹休	29	246.89357	4.22472	3.60950	3.60950	4.22472
熏儿	29	241.81653	4.18523	2.97625	2.97625	4.18523
万归	29	128.67741	4.04386	1.84040	1.84040	4.04386
韩田	29	1011.36563	3.74052	3.39275	3.39275	3.74052
虹芒	28	1061.38351	2.87830	2.84805	2.87830	2.84805
冰系	28	45.72106	3.23401	1.80352	3.23401	1.80352
搔乱	28	354.23575	4.00065	2.96772	4.00065	2.96772
增涨	28	236.75053	3.69445	2.58430	3.69445	2.58430
暗蕴	28	57.02605	4.59307	2.61507	4.59307	2.61507
严承	28	178.37795	4.11058	3.00713	3.00713	4.11058
阵仗	27	217.18741	2.25918	1.61746	2.25918	1.61746
巨尾	27	70.98027	3.55465	2.33056	2.33056	3.55465
风黎	27	360.75969	3.54174	2.18980	2.18980	3.54174
遭惹	27	489.15716	4.00065	3.73601	4.00065	3.73601
冰刃	27	194.23986	3.09215	2.32171	2.32171	3.09215
堪比	27	66.17805	4.07842	3.91211	4.07842	3.91211
鲲凰	26	1865.86437	3.01136	2.72489	2.72489	3.01136
柳昌	26	1772.95063	3.04530	2.33261	3.04530	2.33261
娇俏	26	154.64695	3.44931	3.07971	3.07971	3.44931
古羊	25	145.11837	4.05351	3.20888	3.20888	4.05351
温养	25	128.97133	3.36489	3.21947	3.21947	3.36489
石亭	25	304.83051	3.81366	2.88386	3.81366	2.88386
嚼动	25	132.24545	2.05982	1.80307	2.05982	1.80307
鹰翼	25	61.67611	3.37780	3.03832	3.03832	3.37780
单膝	24	772.10100	3.00271	1.25940	3.00271	1.25940
递于	24	43.14770	2.78416	2.70915	2.78416	2.70915
神涧	24	99.52334	3.80351	1.49722	1.49722	3.80351
惊哗	24	40.77423	3.15136	1.75163	3.15136	1.75163
雁落	24	48.46665	3.47527	1.22202	3.47527	1.22202
抗姓	24	41.55953	1.68968	1.65942	1.65942	1.68968
冒腾	24	156.35058	3.85539	1.27301	3.85539	1.27301
雷弧	23	55.54827	3.49706	2.29463	2.29463	3.49706
鹰凰	23	103.33072	3.18639	2.64208	2.64208	3.18639
钟吟	23	66.15692	3.07558	2.01810	3.07558	2.01810
候虎	23	63.88035	4.26269	2.54402	2.54402	4.26269
邱家	23	221.64436	3.22902	3.04638	3.04638	3.22902
湮粉	23	499.96589	2.55468	2.52274	2.55468	2.52274
枯皮	23	141.68156	3.56704	2.43427	2.43427	3.56704
腾烧	22	92.22874	3.53831	1.57951	3.53831	1.57951
洗髓	22	3089.67496	3.72565	1.97629	3.72565	1.97629
受创	22	80.02621	3.93626	2.29745	3.93626	2.29745
铁扇	22	204.37672	3.20255	2.19696	2.19696	3.20255
晴叶	22	692.55916	3.73216	3.32734	3.32734	3.73216
侵泡	22	1449.72335	3.97057	3.42512	3.97057	3.42512
青厌	22	83.26510	3.91398	2.45845	2.45845	3.91398
箭支	22	461.17587	2.71212	2.54790	2.71212	2.54790
墓府	22	285.72407	2.18190	1.33421	1.33421	2.18190
印衬	21	507.56278	2.81321	2.28448	2.81321	2.28448
石盒	21	91.36858	3.26606	2.70138	3.26606	2.70138
煞队	21	196.21425	3.54145	2.25451	2.25451	3.54145
拍买	21	132.65636	3.68970	2.76067	3.68970	2.76067
洪烈	21	76.49628	3.46328	3.42733	3.42733	3.46328
恬噪	21	60697.50817	3.26606	2.03471	3.26606	2.03471
寸寸	21	1672.21635	3.53517	3.17757	3.53517	3.17757
结镜	20	233.47180	2.79546	2.07095	2.07095	2.79546
巨鹤	20	183.74025	2.67095	2.18375	2.18375	2.67095
古谦	20	298.08097	3.14145	2.72322	2.72322	3.14145
